Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],p_c_down,p_c_up,w_en,p_c_left,e_cd_reg[1:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,p_c_right,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,move_cnt_reg[3:0],<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,motion_timer_reg[21:0],e_state_reg[2:0],<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>_39,<const0>_40,<const0>_41,<const0>_42,<const0>_43,<const0>,random_16_1[15:0],random_16[15:0],data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
38,38,0,338,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dbb1,dbb1,b762
39,39,0,338,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b762,b762,6ec4
40,40,0,338,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ec4,6ec4,dd88
41,41,0,339,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dd88,dd88,bb11
42,42,0,339,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb11,bb11,7623
43,43,0,339,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7623,7623,ec47
44,44,0,339,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ec47,ec47,d88f
45,45,0,340,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d88f,d88f,b11e
46,46,0,340,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b11e,b11e,623d
47,47,0,340,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623d,623d,c47b
48,48,0,340,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c47b,c47b,88f6
49,49,0,341,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88f6,88f6,11ed
50,50,0,341,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11ed,11ed,23db
51,51,0,341,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23db,23db,47b7
52,52,0,341,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47b7,47b7,8f6f
53,53,0,342,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8f6f,8f6f,1ede
54,54,0,342,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1ede,1ede,3dbc
55,55,0,342,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3dbc,3dbc,7b79
56,56,0,342,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7b79,7b79,f6f2
57,57,0,343,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c469f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f6f2,f6f2,ede4
58,58,0,343,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ede4,ede4,dbc9
59,59,0,343,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dbc9,dbc9,b792
60,60,0,343,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b792,b792,6f24
